City,Country,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Latitude,Longitude
Geraldton,CA,33.8,50.0,75.0,1.7,49.72,-86.95
Kamenolomni,RU,59.0,77.0,20.0,6.71,47.67,40.21
Baculin,PH,88.07,55.0,41.0,4.0,7.45,126.58
Ushuaia,AR,51.8,66.0,40.0,8.05,-54.81,-68.31
Marl,DE,40.32,93.0,40.0,2.24,51.65,7.08
Aklavik,CA,26.35,85.0,90.0,9.17,68.22,-135.01
Bethel,US,48.2,66.0,40.0,9.17,60.79,-161.76
The Valley,AI,78.26,74.0,40.0,14.99,18.22,-63.06
Albany,US,56.59,67.0,40.0,4.7,42.65,-73.75
Menemen,TR,54.37,76.0,40.0,3.36,38.6,27.08
Shache,CN,57.0,95.0,82.0,7.65,38.42,77.24
grand river south east,,,,,,,
Saint Anthony,US,57.33,38.0,75.0,4.7,43.97,-111.68
Shimoda,JP,65.46,59.0,40.0,10.29,34.7,138.93
Petropavlovsk-Kamchatskiy,RU,57.2,33.0,7.0,15.66,53.05,158.65
Rikitea,PF,77.27,81.0,3.0,18.57,-23.12,-134.97
Kapaa,US,74.16,60.0,20.0,6.93,22.08,-159.32
Punta Arenas,CL,51.39,66.0,75.0,18.34,-53.16,-70.91
barentsburg,,,,,,,
Berlin,DE,42.03,87.0,40.0,8.05,52.52,13.39
Piacabucu,BR,77.45,73.0,100.0,4.34,-10.41,-36.43
Hilo,US,67.69,56.0,90.0,3.36,19.71,-155.08
Ambilobe,MG,72.05,84.0,53.0,4.32,-13.19,49.05
Lorengau,PG,81.95,83.0,100.0,4.85,-2.02,147.27
Alpena,US,39.79,56.0,1.0,10.29,45.06,-83.43
marcona,,,,,,,
Seddon,NZ,62.37,78.0,99.0,3.0,-41.67,174.07
Lavrentiya,RU,25.25,91.0,85.0,11.1,65.58,-170.99
Bluff,AU,75.83,28.0,0.0,4.45,-23.58,149.07
Townsville,AU,80.2,42.0,0.0,13.87,-19.26,146.82
Port Alfred,ZA,63.0,97.0,96.0,3.91,-33.59,26.89
Butaritari,KI,84.47,69.0,100.0,4.47,3.07,172.79
Yerbogachen,RU,36.77,63.0,100.0,15.5,61.28,108.01
Ajnala,IN,84.2,37.0,20.0,7.47,31.84,74.76
Jardim,BR,72.95,90.0,100.0,1.14,-21.48,-56.15
Ahipara,NZ,66.99,97.0,1.0,10.47,-35.17,173.16
Saskylakh,RU,22.91,94.0,83.0,7.02,71.97,114.09
Faanui,PF,83.39,64.0,81.0,5.93,-16.48,-151.75
Margate,AU,56.89,54.0,75.0,3.36,-43.03,147.26
Karlshamn,SE,38.19,83.0,3.0,6.93,56.17,14.86
Tuktoyaktuk,CA,23.0,85.0,90.0,14.99,69.44,-133.03
At-Bashi,KG,44.15,23.0,1.0,4.5,41.17,75.81
Allende,MX,75.47,72.0,53.0,14.88,28.34,-100.85
Thompson,CA,30.2,68.0,75.0,3.36,55.74,-97.86
Bredasdorp,ZA,51.8,87.0,100.0,3.36,-34.53,20.04
umzimvubu,,,,,,,
Cherskiy,RU,33.17,86.0,53.0,7.2,68.75,161.3
Avarua,CK,80.6,69.0,0.0,3.36,-21.21,-159.78
Harper,US,66.27,93.0,75.0,15.75,30.3,-99.24
Hermanus,ZA,55.99,91.0,100.0,8.14,-34.42,19.24
Salalah,OM,78.8,34.0,0.0,5.82,17.01,54.1
Camargo,MX,78.89,9.0,0.0,8.39,27.69,-105.17
Tiksi,RU,25.97,86.0,68.0,4.16,71.64,128.87
Krasnyy Chikoy,RU,57.83,33.0,54.0,14.65,50.36,108.75
Yellowknife,CA,35.89,40.0,20.0,3.36,62.45,-114.38
Ahuimanu,US,74.68,73.0,90.0,4.56,21.44,-157.84
Kaitangata,NZ,59.0,72.0,100.0,8.01,-46.28,169.85
Saint-Philippe,CA,62.31,63.0,75.0,3.36,45.36,-73.48
Arraial do Cabo,BR,73.4,83.0,0.0,3.36,-22.97,-42.02
Bambous Virieux,MU,77.0,83.0,75.0,7.74,-20.34,57.76
Port Lincoln,AU,60.89,65.0,3.0,30.74,-34.72,135.86
Atar,MR,87.53,13.0,0.0,8.75,20.52,-13.05
illoqqortoormiut,,,,,,,
Denpasar,ID,84.2,83.0,20.0,13.87,-8.65,115.22
Molinella,IT,44.33,86.0,0.0,4.7,44.62,11.67
Hofn,IS,24.35,96.0,100.0,4.14,64.25,-15.21
Lewiston,US,58.39,41.0,1.0,4.7,46.42,-117.02
Chuy,UY,61.43,66.0,0.0,10.71,-33.69,-53.46
Iqaluit,CA,32.0,86.0,90.0,8.05,63.75,-68.52
mys shmidta,,,,,,,
Boyuibe,BO,63.59,97.0,89.0,2.37,-20.43,-63.28
Rawson,AR,56.75,51.0,0.0,16.53,-43.3,-65.11
Sao Filipe,CV,72.77,83.0,12.0,22.28,14.9,-24.5
Upernavik,GL,32.81,87.0,43.0,1.81,72.79,-56.15
Dakar,SN,71.55,69.0,64.0,21.92,14.69,-17.45
Surt,LY,63.59,64.0,0.0,5.57,31.21,16.59
Kudahuvadhoo,MV,83.93,70.0,31.0,4.16,2.67,72.89
Porlamar,VE,78.8,88.0,20.0,16.31,10.96,-63.85
Mataura,NZ,57.0,89.0,100.0,1.92,-46.19,168.86
Kidal,ML,89.69,10.0,0.0,12.21,18.44,1.41
Prince Rupert,CA,48.2,76.0,90.0,3.36,54.32,-130.32
Puerto Penasco,MX,71.01,73.0,35.0,11.01,31.32,-113.53
Aguimes,ES,64.13,68.0,75.0,18.34,27.91,-15.45
Barrow,AR,46.13,77.0,0.0,5.32,-38.31,-60.23
Hobart,AU,56.73,54.0,75.0,3.36,-42.88,147.33
Busselton,AU,64.69,65.0,97.0,1.99,-33.64,115.35
arrecife,,,,,,,
Kushiro,JP,48.2,100.0,75.0,3.36,43.11,144.15
